iter	Passed	Remaining
0	139	139032
1	139	69768
2	140	46665
3	140	35107
4	141	28180
5	142	23555
6	142	20250
7	143	17772
8	143	15843
9	144	14298
10	144	13036
11	145	11984
12	146	11093
13	146	10330
14	147	9668
15	147	9089
16	148	8579
17	148	8123
18	149	7714
19	149	7345
20	150	7010
21	150	6706
22	151	6427
23	151	6173
24	152	5938
25	152	5722
26	153	5521
27	153	5335
28	154	5163
29	154	5002
30	155	4851
31	155	4710
32	156	4577
33	156	4451
34	157	4333
35	157	4221
36	158	4116
37	158	4016
38	159	3920
39	159	3830
40	160	3744
41	160	3663
42	161	3585
43	161	3510
44	162	3439
45	162	3372
46	163	3307
47	163	3244
48	164	3184
49	164	3127
50	165	3072
51	165	3019
52	166	2967
53	166	2918
54	167	2870
55	167	2824
56	168	2780
57	168	2737
58	169	2696
59	169	2656
60	170	2617
61	170	2579
62	171	2543
63	171	2508
64	172	2474
65	172	2441
66	172	2408
67	173	2374
68	173	2344
69	174	2315
70	174	2286
71	175	2258
72	175	2231
73	176	2205
74	176	2180
75	177	2154
76	177	2130
77	178	2106
78	178	2083
79	179	2060
80	179	2038
81	180	2016
82	180	1995
83	181	1975
84	181	1953
85	181	1933
86	182	1912
87	182	1894
88	183	1876
89	183	1858
90	184	1841
91	184	1824
92	185	1807
93	185	1790
94	186	1774
95	186	1758
96	187	1743
97	187	1727
98	188	1713
99	188	1698
100	189	1684
101	189	1668
102	189	1654
103	190	1640
104	190	1627
105	191	1614
106	191	1601
107	192	1589
108	192	1577
109	193	1565
110	193	1553
111	194	1542
112	195	1530
113	195	1519
114	196	1508
115	196	1496
116	196	1486
117	197	1475
118	197	1464
119	198	1454
120	198	1444
121	199	1434
122	199	1422
123	200	1413
124	200	1403
125	200	1394
126	201	1384
127	201	1374
128	202	1366
129	202	1357
130	203	1349
131	204	1341
132	204	1333
133	205	1325
134	205	1317
135	206	1310
136	206	1302
137	207	1294
138	207	1287
139	208	1279
140	208	1272
141	209	1264
142	209	1257
143	210	1250
144	210	1243
145	211	1236
146	211	1229
147	212	1222
148	212	1215
149	213	1208
150	213	1202
151	214	1195
152	214	1189
153	215	1182
154	215	1176
155	216	1170
156	216	1163
157	217	1157
158	217	1151
159	218	1146
160	218	1140
161	219	1134
162	219	1129
163	220	1123
164	221	1118
165	221	1112
166	221	1107
167	222	1102
168	223	1096
169	223	1091
170	223	1085
171	224	1080
172	224	1075
173	225	1070
174	225	1065
175	226	1060
176	226	1055
177	227	1050
178	227	1045
179	228	1040
180	228	1034
181	229	1029
182	229	1024
183	230	1020
184	230	1016
185	231	1011
186	231	1006
187	232	1003
188	232	998
189	233	994
190	233	990
191	234	985
192	234	981
193	235	977
194	235	973
195	236	969
196	236	964
197	237	960
198	237	956
199	238	952
200	238	948
201	239	944
202	239	940
203	240	936
204	240	933
205	241	929
206	241	925
207	242	921
208	242	917
209	243	914
210	243	910
211	243	906
212	244	903
213	244	899
214	245	896
215	245	892
216	246	889
217	246	885
218	247	882
219	247	878
220	248	875
221	248	872
222	249	868
223	249	865
224	250	862
225	250	858
226	251	855
227	251	852
228	252	849
229	252	846
230	253	842
231	253	839
232	254	836
233	254	833
234	255	830
235	255	827
236	256	824
237	256	821
238	257	818
239	257	815
240	258	812
241	258	809
242	259	806
243	259	804
244	260	801
245	260	798
246	261	795
247	261	792
248	261	790
249	262	787
250	262	784
251	263	781
252	263	779
253	264	776
254	264	773
255	265	771
256	265	768
257	266	765
258	266	763
259	267	760
260	267	758
261	268	755
262	268	753
263	269	750
264	269	748
265	270	745
266	270	743
267	271	740
268	271	738
269	272	735
270	272	733
271	273	731
272	273	728
273	274	726
274	274	723
275	275	721
276	275	719
277	276	717
278	276	714
279	277	712
280	277	710
281	278	707
282	278	705
283	279	703
284	279	701
285	280	699
286	280	696
287	280	694
288	281	692
289	281	690
290	282	688
291	282	685
292	283	683
293	283	681
294	284	679
295	284	677
296	285	675
297	285	673
298	286	671
299	286	669
300	287	667
301	287	665
302	288	663
303	288	661
304	289	659
305	290	657
306	290	656
307	291	654
308	291	652
309	292	651
310	293	650
311	294	649
312	295	647
313	295	646
314	296	645
315	297	643
316	297	641
317	298	640
318	299	638
319	299	636
320	300	634
321	300	632
322	301	630
323	301	629
324	302	627
325	302	625
326	303	623
327	303	622
328	304	620
329	304	618
330	305	616
331	305	615
332	306	613
333	306	611
334	307	609
335	307	608
336	308	606
337	308	604
338	309	603
339	309	601
340	310	599
341	310	597
342	311	596
343	311	594
344	312	592
345	312	591
346	313	589
347	313	587
348	314	586
349	314	584
350	315	583
351	315	581
352	316	579
353	316	578
354	317	576
355	317	575
356	318	573
357	319	572
358	319	570
359	320	569
360	320	567
361	321	565
362	321	564
363	322	562
364	322	561
365	323	559
366	323	558
367	324	556
368	324	554
369	325	553
370	325	551
371	326	550
372	326	548
373	327	547
374	327	546
375	328	544
376	328	543
377	329	541
378	329	540
379	330	538
380	330	537
381	331	535
382	331	534
383	331	532
384	332	531
385	332	529
386	333	528
387	333	526
388	334	525
389	334	523
390	335	522
391	335	521
392	336	519
393	336	518
394	337	516
395	337	515
396	338	514
397	338	512
398	339	511
399	339	509
400	340	508
401	340	507
402	341	505
403	341	504
404	342	503
405	342	501
406	343	500
407	343	499
408	344	497
409	345	496
410	345	495
411	346	494
412	346	493
413	347	491
414	347	490
415	348	489
416	348	487
417	349	486
418	349	485
419	350	483
420	350	482
421	351	481
422	351	480
